quarter,money_drechsel,money_aruobadrechsel,money_bauerswanson,money_boehmkroner,money_bundickhs_level,money_bundickhs_slope,money_burogerswu,money_gertlerkaradi,money_jarocinski_FFR,money_jarocinski_FG,money_jarocinski_Info,money_jarocinski_LSAP,money_jarocinskikaradi_cbi,money_jarocinskikaradi_mp,money_mirandaagrippinoricco,money_romerromer,money_swanson_FFR,money_swanson_FG,money_swanson_LSAP,govs_benzeevpappa,govs_fieldhousemertens24_def,govs_fieldhousemertens24_nondef,govs_fisherpeters,govs_ramey_news,govs_fieldhousemertens21,govs_romer16_ssperm,govs_romer16_sstemp,oil_killian,oil_baumeisterhamilton19_dcons,oil_baumeisterhamilton19_dinv,oil_baumeisterhamilton19_supply,oil_kanzig21,other_chahrourjurado22,other_adamsbarrett24,other_kimmatthesphan24,other_pifferpodstawski18,tax_leeperetal,tax_liebetal,tax_mertensrav_news,tax_mertensrav_surp,tax_phillot_02y,tax_phillot_05y,tax_phillot_10y,tax_phillot_30y,tech_barskysims,tech_benzeevkhan_ist,tech_benzeevkhan_ist_news,tech_benzeevkhan_tfp,tech_fernald,tech_mahhb
1951q1,1.29212323342307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.159857360952191,.0130680373778968,0,.22532,4.1,0,0,0,0,0,0,0,0,2.235740423202515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.920821339065918,0
1951q2,-1.06503910608026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.148723890068451,0,0,.16458,0,0,0,0,0,0,0,0,0,-.7758963108062744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.904579884626698,0
1951q3,-.0491231010811034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0232977184625534,0,0,.283487,0,0,0,0,0,0,0,0,0,2.845269680023193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08871068006749,0
1951q4,.0584737434261762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.339611328858548,.0420097978051127,.0089249250478572,.244909,0,0,0,0,0,0,0,0,0,-.2589967846870422,0,0,0,0,.30212,-.35,0,0,0,0,0,0,0,0,0,-1.035570518343947,0
1952q1,.549197463832373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.608241974671803,0,0,.20743,-.5,0,0,0,0,0,0,0,0,-4.567460536956787,0,0,0,0,1.1304,0,0,0,0,0,0,0,-1.12272870936413,1.45152578801952,-.328319392995495,-4.994656519086019,0
1952q2,-.109710486316674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.103857424929324,0,0,.326055,-4.6,0,0,0,0,0,0,0,0,2.764359712600708,0,0,0,0,-.15183,0,0,0,0,0,0,0,1.4146152631381,1.00026264977749,-1.05304825365263,7.729347222027382,0
1952q3,-.220970917167045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.130259075580829,.0077095249631207,.0055518488208888,.351199,.8,0,0,0,0,0,0,0,0,-1.601967334747314,0,0,0,0,.634,0,0,0,0,0,0,0,-1.0892061391294,.983620965498193,-1.87091355181961,-3.22905420668066,0
1952q4,-.392798778313663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.690965386641285,0,0,.370502,0,0,.6677,0,0,0,0,0,0,-3.051589488983154,0,0,0,0,-.19365,0,0,0,0,0,0,0,3.27073134240074,1.26919430761045,.742635175321501,.2047310060022234,0
1953q1,.0304984266367006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.527035576057761,0,0,.372733,-7.5,0,0,0,0,0,0,0,0,3.615952253341675,0,0,0,0,1.1186,0,0,0,0,0,0,0,-2.18532646870513,-1.5574536204166,1.71843799083368,9.100653545226651,0
1953q2,-.209866974991702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.213284699621428,0,0,.369376,-4.4,0,0,0,0,0,0,0,0,-.5433791279792786,0,0,0,0,.19309,0,0,0,0,0,0,0,1.1992930061497,-.424390309093048,1.8562707000051,4.495999771468646,0
1953q3,-.412019448339317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0521111168000024,-.0363211658698323,.0059513129768293,.447183,-11.7,0,0,0,0,0,0,0,0,.0915193408727646,0,0,0,0,-.67747,0,0,0,0,0,0,0,2.02690499376815,-.678089872873846,1.47360383348695,5.251169375891253,0
1953q4,.0475487412390298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0547397194751321,0,0,.520549,-1,0,0,0,0,0,0,0,0,2.185484170913696,0,0,0,0,-1.8586,0,0,0,0,0,0,0,.210566840240577,-1.39194681935605,.396791006911347,2.152643239192774,0
1954q1,.911838055198236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.146372834091278,0,0,.651205,0,0,0,0,0,0,0,0,0,2.110608100891113,0,0,0,.421381533,.19514,0,0,0,0,0,0,0,-1.06812512851864,.82460679234318,-.181689965256867,5.32816990666628,0
